,Year,Commercial Partner,Import Quantity (kg),Import Value (CHF),Import Value Change (%),Export Quantity (kg),Export Value (CHF),Export Value Change (%)
2,2010,China,568201511,6071570473,18.1,168324165,7079189569,31.1
3,2010,Russia,81202228,677335686,29.5,90131198,2667339170,26.1
5,2011,China,613470362,6287530369,3.6,181410864,8448820372,19.3
6,2011,Russia,136300811,506574463,-25.2,98140596,2990850020,12.1
8,2012,China,749103757,10264685937,63.3,162039712,7421803237,-12.2
9,2012,Russia,84408303,406657434,-19.7,104508903,2923798003,-2.2
11,2013,China,782554313,11386794415,10.9,177167162,8206362520,10.6
12,2013,Russia,110771551,528768034,30.0,109578505,3117344313,6.6
14,2014,China,828022124,12147777324,6.7,190959408,8813981104,7.4
15,2014,Russia,115191925,587939248,11.2,108682911,2786106219,-10.6
17,2015,China,869194333,12345871847,1.6,218330311,8954829885,1.6
18,2015,Russia,95618545,324256286,-44.8,97727916,2167138970,-22.2
20,2016,China,858735549,12283515951,-0.5,229964662,9862996768,10.1
21,2016,Russia,324639276,370743780,14.3,103426701,2009636846,-7.3
23,2017,China,836388983,12995497906,5.8,286987321,11403462066,15.6
24,2017,Russia,169937602,208029752,-43.9,110183173,2241168227,11.5
26,2018,China,887722325,14242439883,9.6,298957951,12179615641,6.8
27,2018,Russia,171144866,288811932,38.8,108133063,2509291371,12.0
29,2019,China,872770783,14893792593,4.6,294818646,13392178643,10.0
30,2019,Russia,207627413,252557433,-12.6,106001833,3106455085,23.8
32,2020,China,895212224,16095604187,8.1,232789856,14734371268,10.0
33,2020,Russia,140707947,203842736,-19.3,99747756,2779172596,-10.5
35,2021,China,1007513631,17948303816,11.5,239794961,15572977303,5.7
36,2021,Russia,159638909,270340876,32.6,95367327,3213073231,15.6
38,2022,China,1094051245,20374979031,13.5,214517077,15905207768,2.1
39,2022,Russia,50983413,142185612,-47.4,64960774,3024002211,-5.9
41,2023,China,979733641,17923439136,-12.0,195506117,15355723594,-3.5
42,2023,Russia,12342446,39892137,-71.9,74632741,2586202255,-14.5
